     Depth,  GAM(NAT),   RES(16),   RES(64),   NEUTRON,Outcome
142.3,111.325,50.1968,66.7323,396.077,Dry
142.5,31.0888,50.1968,66.7323,423.872,Dry
142.8,21.0592,50.1968,63.7795,291.846,Dry
143,31.0888,50.1968,61.4173,243.205,Dry
143.3,121.355,50.1968,61.4173,382.179,Dry
143.5,91.2663,51.378,61.4173,361.333,Dry
143.8,61.1775,51.378,61.4173,271,Dry
144,71.2071,53.1496,61.4173,340.487,Dry
144.3,61.1775,53.1496,61.4173,437.769,Dry
144.5,11.0296,54.3307,61.4173,319.641,Dry
144.8,31.0888,54.3307,63.7795,396.077,Dry
145,31.0888,54.3307,67.9134,375.231,Dry
145.3,51.1479,54.3307,67.9134,340.487,Dry
145.5,81.2367,54.3307,67.9134,347.436,Dry
145.8,51.1479,54.3307,67.9134,354.385,Dry
146,71.2071,54.3307,67.9134,354.385,Dry
146.3,71.2071,54.3307,67.9134,319.641,Dry
146.5,51.1479,54.3307,69.685,382.179,Dry
146.8,31.0888,54.3307,72.0472,326.59,Dry
147,31.0888,54.3307,76.7717,347.436,Dry
147.3,51.1479,54.3307,85.0394,361.333,Dry
147.5,111.325,54.3307,85.0394,291.846,Dry
147.8,81.2367,54.3307,85.0394,305.744,Dry
148,21.0592,54.3307,85.0394,423.872,Dry
148.3,61.1775,54.3307,85.0394,361.333,Dry
148.5,71.2071,54.3307,86.2205,284.897,Dry
148.8,71.2071,54.3307,86.2205,382.179,Dry
149,101.296,54.3307,85.0394,389.128,Dry
149.3,51.1479,54.3307,85.0394,347.436,Dry
149.5,41.1183,54.3307,86.2205,361.333,Dry
149.8,31.0888,54.3307,86.2205,409.974,Dry
150,71.2071,54.3307,89.1732,354.385,Dry
150.3,41.1183,54.3307,89.1732,389.128,Dry
150.5,31.0888,54.3307,91.5354,319.641,Dry
150.8,61.1775,57.2835,94.4882,382.179,Dry
151,21.0592,58.4646,95.6693,298.795,Dry
151.3,51.1479,58.4646,95.6693,382.179,Dry
151.5,51.1479,59.6457,95.6693,319.641,Dry
151.8,41.1183,61.4173,97.4409,326.59,Dry
152,11.0296,61.4173,97.4409,389.128,Dry
152.3,51.1479,62.5984,97.4409,271,Dry
152.5,51.1479,62.5984,95.6693,354.385,Dry
152.8,61.1775,62.5984,95.6693,382.179,Dry
153,41.1183,62.5984,95.6693,319.641,Dry
153.3,11.0296,62.5984,94.4882,284.897,Dry
153.5,11.0296,61.4173,94.4882,409.974,Dry
153.8,91.2663,58.4646,93.3071,354.385,Dry
154,61.1775,58.4646,93.3071,298.795,Dry
154.3,41.1183,58.4646,93.3071,347.436,Dry
154.5,31.0888,58.4646,93.3071,500.308,Dry
154.8,31.0888,55.5118,93.3071,375.231,Dry
155,61.1775,55.5118,93.3071,458.615,Dry
155.3,51.1479,54.3307,93.3071,326.59,Dry
155.5,61.1775,54.3307,93.3071,284.897,Dry
155.8,31.0888,54.3307,93.3071,340.487,Dry
156,61.1775,54.3307,93.3071,382.179,Dry
156.3,41.1183,54.3307,93.3071,333.538,Dry
156.5,41.1183,54.3307,94.4882,416.923,Dry
156.8,26.074,54.3307,95.6693,389.128,Dry
157,51.1479,54.3307,95.6693,458.615,Dry
157.3,21.0592,54.3307,97.4409,361.333,Dry
157.5,31.0888,54.3307,97.4409,368.282,Dry
157.8,21.0592,54.3307,97.4409,444.718,Dry
158,51.1479,54.3307,97.4409,340.487,Dry
158.3,41.1183,54.3307,97.4409,340.487,Dry
158.5,41.1183,54.3307,97.4409,347.436,Dry
