     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
108.5,136.184,76.6165,124.477,375.231,Dry
108.8,42.5951,77.2894,124.477,222.359,Dry
109,21.7975,77.4311,123.979,284.897,Dry
109.3,37.3957,77.2186,123.198,312.692,Dry
109.5,32.1963,76.7936,122.842,430.821,Dry
109.8,32.1963,76.1207,122.38,368.282,Dry
110,52.9939,75.2708,122.096,368.282,Dry
110.3,84.1902,75.377,122.984,201.513,Dry
110.5,104.988,75.5541,124.192,305.744,Dry
110.8,11.3988,75.4124,125.649,284.897,Dry
111,52.9939,75.4478,127.568,257.103,Dry
111.3,32.1963,75.2353,128.634,312.692,Dry
111.5,21.7975,74.952,129.7,312.692,Dry
111.8,21.7975,74.952,129.735,382.179,Dry
112,32.1963,74.9166,127.959,312.692,Dry
112.3,78.9908,75.0937,126.182,382.179,Dry
112.5,42.5951,74.952,125.507,284.897,Dry
112.8,42.5951,74.2791,125.578,396.077,Dry
113,32.1963,74.7395,126.395,361.333,Dry
113.3,73.7914,75.5895,127.248,340.487,Dry
113.5,42.5951,75.9791,129.025,385.654,Dry
113.8,32.1963,75.9082,131.05,305.744,Dry
114,21.7975,76.4395,131.867,472.513,Dry
114.3,21.7975,77.1124,131.548,382.179,Dry
114.5,1,77.8207,132.471,486.41,Dry
114.8,52.9939,78.7061,133.68,340.487,Dry
115,32.1963,80.4945,133.751,347.436,Dry
115.3,1,82.9559,133.253,298.795,Dry
115.5,11.3988,84.1246,133.928,333.538,Dry
115.8,11.3988,83.0976,135.811,284.897,Dry
116,37.3957,82.3893,137.197,312.692,Dry
116.3,84.1902,82.6372,137.162,291.846,Dry
116.5,84.1902,82.8851,136.664,284.897,Dry
116.8,73.7914,81.7164,135.669,354.385,Dry
117,63.3926,79.8748,133.608,368.282,Dry
117.3,84.1902,77.9623,130.908,222.359,Dry
117.5,32.1963,76.2624,128.243,257.103,Dry
117.8,94.589,75.0583,125.187,361.333,Dry
118,84.1902,74.952,122.416,305.744,Dry
118.3,42.5951,73.9958,119.644,319.641,Dry
118.5,104.988,72.9333,118.72,305.744,Dry
118.8,63.3926,71.7292,118.934,319.641,Dry
119,94.589,70.9146,118.614,396.077,Dry
119.3,63.3926,70.9501,117.583,368.282,Dry
119.5,21.7975,71.4105,116.873,347.436,Dry
119.8,52.9939,71.1626,117.512,347.436,Dry
120,73.7914,70.1355,118.614,340.487,Dry
120.3,21.7975,69.3918,120.071,368.282,Dry
120.5,52.9939,69.6751,121.599,326.59,Dry
120.8,32.1963,69.923,122.451,284.897,Dry
121,32.1963,70.3834,123.659,368.282,Dry
121.3,21.7975,70.4188,123.695,326.59,Dry
121.5,32.1963,70.2772,122.132,298.795,Dry
121.8,52.9939,70.8084,121.172,305.744,Dry
122,32.1963,70.2772,120.994,382.179,Dry
122.3,42.5951,69.5334,121.172,368.282,Dry
122.5,1,69.3918,121.705,277.949,Dry
122.8,63.3926,69.2855,122.096,361.333,Dry
123,73.7914,69.0022,122.736,312.692,Dry
123.3,21.7975,68.4001,122.665,319.641,Dry
123.5,63.3926,67.7627,121.918,291.846,Dry
123.8,21.7975,67.0544,121.172,326.59,Dry
124,32.1963,66.169,120.39,298.795,Dry
124.3,11.3988,65.5669,119.431,416.923,Dry
124.5,32.1963,65.2482,118.33,298.795,Dry
124.8,99.7883,65.2482,116.695,340.487,Dry
125,1,65.5315,115.736,305.744,Dry
125.3,32.1963,65.8502,115.238,375.231,Dry
125.5,52.9939,65.9211,114.847,326.59,Dry
125.8,73.7914,65.9565,114.137,375.231,Dry
126,32.1963,66.169,113.817,340.487,Dry
126.3,84.1902,66.4523,113.426,333.538,Dry
126.5,73.7914,66.7002,113.355,312.692,Dry
126.8,32.1963,66.8773,113.355,319.641,Dry
127,32.1963,66.4169,113.853,382.179,Dry
127.3,32.1963,66.0981,114.35,340.487,Dry
127.5,21.7975,65.9211,114.172,361.333,Dry
127.8,52.9939,65.6377,113.639,347.436,Dry
128,84.1902,65.4252,113.106,284.897,Dry
128.3,21.7975,65.4606,112.538,382.179,Dry
128.5,11.3988,65.1065,112.609,288.372,Dry
128.8,21.7975,64.7523,113.035,291.846,Dry
129,42.5951,64.2565,112.715,333.538,Dry
129.3,52.9939,63.9732,111.01,222.359,Dry
129.5,21.7975,63.9024,109.304,271,Dry
129.8,52.9939,63.5128,107.421,298.795,Dry
130,104.988,63.0524,105.787,271,Dry
130.3,63.3926,62.8399,105.254,298.795,Dry
130.5,32.1963,61.8483,105.929,208.462,Dry
130.8,63.3926,60.9275,107.208,298.795,Dry
131,21.7975,60.29,108.452,312.692,Dry
131.3,63.3926,59.7588,109.162,347.436,Dry
131.5,52.9939,59.4754,109.766,222.359,Dry
131.8,63.3926,59.3692,109.624,396.077,Dry
132,21.7975,59.44,109.304,340.487,Dry
132.3,11.3988,59.44,108.985,444.718,Dry
132.5,42.5951,59.5108,108.771,298.795,Dry
132.8,63.3926,59.5463,108.7,382.179,Dry
133,52.9939,59.5817,108.487,434.295,Dry
133.3,94.589,59.6879,108.381,458.615,Dry
133.5,32.1963,59.9358,108.452,354.385,Dry
133.8,52.9939,60.3962,108.523,458.615,Dry
134,94.589,61.2816,107.99,340.487,Dry
134.3,63.3926,62.4503,108.203,305.744,Dry
134.5,63.3926,63.7607,108.985,284.897,Dry
134.8,73.7914,65.0357,109.873,284.897,Dry
135,42.5951,67.4793,110.335,382.179,Dry
135.3,32.1963,69.2501,110.512,354.385,Dry
135.5,136.184,69.6397,111.081,409.974,Dry
135.8,177.779,68.8251,112.04,291.846,Dry
136,136.184,67.8335,112.538,326.59,Dry
136.3,115.387,68.1168,112.893,354.385,Dry
136.5,52.9939,68.6835,113.391,382.179,Dry
136.8,63.3926,68.648,114.883,284.897,Dry
137,63.3926,68.8605,117.548,347.436,Dry
137.3,52.9939,69.0376,118.543,361.333,Dry
137.5,63.3926,69.7105,118.187,333.538,Dry
137.8,94.589,69.9584,117.797,368.282,Dry
138,104.988,69.4626,116.624,354.385,Dry
138.3,73.7914,69.7459,114.741,250.154,Dry
138.5,188.178,70.1355,112.787,354.385,Dry
138.8,94.589,69.6043,112.254,389.128,Dry
139,32.1963,68.9668,113.462,326.59,Dry
139.3,84.1902,68.7543,114.954,333.538,Dry
139.5,177.779,69.2501,116.127,375.231,Dry
139.8,52.9939,69.9584,118.33,319.641,Dry
140,42.5951,70.0647,121.101,361.333,Dry
140.3,177.779,69.6397,123.944,389.128,Dry
140.5,84.1902,69.9584,124.37,472.513,Dry
140.8,21.7975,70.8438,123.837,375.231,Dry
141,125.785,71.6584,124.192,340.487,Dry
141.3,42.5951,70.9146,125.472,458.615,Dry
141.5,146.583,70.6313,125.614,375.231,Dry
141.8,125.785,69.7459,125.329,382.179,Dry
142,94.589,68.6835,126.538,437.769,Dry
142.3,115.387,67.5148,128.385,451.667,Dry
142.5,63.3926,66.346,128.954,375.231,Dry
142.8,42.5951,67.0544,129.984,437.769,Dry
143,42.5951,67.196,130.837,618.436,Dry
143.3,21.7975,67.5148,130.268,569.795,Dry
143.5,63.3926,67.8335,128.03,597.59,Dry
143.8,63.3926,67.7272,125.081,542,Dry
144,104.988,67.7272,124.548,542,Dry
144.3,73.7914,67.0189,124.121,576.744,Dry
