     Depth,  GAM(NAT),  RES(16N),   RES(64),   NEUTRON,Outcome
245.8,1,70.6883,188.976,1122.05,Hard_water
246,32.1963,63.6441,181.89,1105.51,Hard_water
246.3,21.7975,60.1911,174.016,1088.98,Hard_water
246.5,63.3926,57.797,145.95,847.744,Hard_water
246.8,73.7914,54.8044,121.506,1155.12,Hard_water
247,21.7975,53.239,110.497,1117.32,Hard_water
247.3,11.3988,48.4509,102.582,1117.32,Hard_water
247.5,21.7975,44.2842,102.648,1072.44,Hard_water
247.8,42.5951,40.578,107.969,1117.32,Hard_water
248,68.592,37.6314,112.493,1171.65,Hard_water
248.3,21.7975,36.3883,115.22,1171.65,Hard_water
248.5,42.5951,36.6185,108.169,1166.93,Hard_water
248.8,52.9939,38.276,97.3933,1117.32,Hard_water
249,21.7975,41.6829,92.8702,1188.19,Hard_water
249.3,21.7975,49.0954,90.6752,1162.2,Hard_water
249.5,1,59.4545,92.0055,1129.13,Hard_water
249.8,42.5951,68.6165,106.174,1105.51,Hard_water
250,42.5951,71.2408,129.454,1060.63,Hard_water
250.3,32.1963,74.1413,157.192,958.923,Hard_water
250.5,32.1963,75.6606,169.763,945.026,Hard_water
250.8,42.5951,74.3254,182.368,1073.58,Hard_water
251,1,76.5814,196.935,1077.05,Hard_water
251.3,21.7975,75.6146,195.239,1278.56,Hard_water
251.5,32.1963,77.9626,183.599,1122.05,Hard_water
251.8,11.3988,78.7913,165.905,1117.32,Hard_water
252,11.3988,77.5483,147.946,1112.6,Hard_water
252.3,11.3988,71.7011,142.225,1088.98,Hard_water
252.5,11.3988,66.4986,133.246,1368.9,Hard_water
252.8,21.7975,59.8458,132.581,1007.56,Hard_water
253,52.9939,54.5512,133.113,1028.41,Hard_water
253.3,11.3988,51.1672,120.275,792.154,Hard_water
253.5,52.9939,50.0623,100.453,861.641,Hard_water
253.8,21.7975,48.1056,81.762,875.538,Hard_water
254,32.1963,45.5733,65.0664,1209.08,Hard_water
254.3,1,46.9776,51.5635,1022.83,Hard_water
254.5,11.3988,42.2354,47.1734,889.436,Hard_water
254.8,21.7975,31.5081,49.5015,979.769,Hard_water
255,11.3988,26.2134,52.8273,799.103,Hard_water
255.3,21.7975,22.8986,52.7608,701.82,Dry
255.5,32.1963,21.0109,52.8273,639.282,Dry
255.8,11.3988,19.4916,52.3617,722.667,Dry
256,11.3988,18.6629,49.9006,701.82,Dry
256.3,11.3988,17.8111,47.7056,611.487,Dry
256.5,1,17.1896,46.1092,653.18,Dry
256.8,1,16.499,45.2445,771.308,Dry
257,11.3988,15.8084,44.5128,687.923,Dry
257.3,11.3988,15.44,43.8476,687.923,Dry
257.5,1,15.2559,42.5838,715.718,Dry
257.8,11.3988,15.0487,40.7879,750.462,Dry
258,21.7975,15.2559,39.125,840.795,Dry
258.3,1,15.7163,36.8634,701.82,Dry
258.5,32.1963,16.0386,35.0675,715.718,Dry
258.8,11.3988,16.499,34.0032,694.872,Dry
259,21.7975,16.499,33.8036,951.974,Dry
259.3,1,16.8212,33.6706,1056.21,Dry
259.5,11.3988,16.9594,33.5376,799.103,Dry
259.8,1,16.9594,33.6041,806.051,Dry
260,11.3988,16.7752,33.6706,816.474,Dry
